id,snapshot_date,snapshot_batch,source_table,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price,created_at
2597,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",LFIN.N0000,24209,11668,51.803,41.18,36,15,4603,146,153.75,"2026-01-04 01:43:55"
2598,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",STAF.N0000,49698,24118,51.4709,14.29,16,12,10000,53.1,54.7,"2026-01-04 01:43:55"
2599,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",AHUN.N0000,35934,17879,50.2449,31.43,23,12,3115,103,106.5,"2026-01-04 01:43:55"
2600,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",LVEN.N0000,54783,28103,48.7012,10.34,16,13,35600,60,69.6,"2026-01-04 01:43:55"
2601,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",OSEA.N0000,87450,45571,47.8891,33.33,48,24,6625,37.5,38.3,"2026-01-04 01:43:55"
2602,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",CCS.N0000,36622,19661,46.3137,55.56,49,14,14887,105.5,107.5,"2026-01-04 01:43:55"
2603,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",CTLD.N0000,29347,16596,43.4491,35.29,23,11,2100,35.1,36.1,"2026-01-04 01:43:55"
2604,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",LIOC.N0000,77386,48202,37.7122,68.89,76,14,25487,127,127.5,"2026-01-04 01:43:55"
2605,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",TESS.X0000,3409545,2125993,37.6458,-9.57,52,63,1855780,1,1,"2026-01-04 01:43:55"
2606,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",VFIN.N0000,36281,22743,37.3143,18.37,29,20,2247,100,100.75,"2026-01-04 01:43:55"
2607,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",CITW.N0000,20961835,13552606,35.3463,-12.15,159,203,11642426,1.9,2,"2026-01-04 01:43:55"
2608,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",BPPL.N0000,82422,54703,33.6306,56.25,50,14,26555,20,20.2,"2026-01-04 01:43:55"
2609,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",TJL.N0000,262822,175055,33.3941,73.47,85,13,26531,35,35.9,"2026-01-04 01:43:55"
2610,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",ASIY.N0000,442158,304533,31.1258,26.32,60,35,128599,9,9.6,"2026-01-04 01:43:55"
2611,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",LMF.N0000,102927,71181,30.8432,50.77,49,16,23800,65.5,65.5,"2026-01-04 01:43:55"
2612,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",EDEN.N0000,200118,141178,29.4526,60.92,70,17,83761,13,13.1,"2026-01-04 01:43:55"
2613,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",DOCK.N0000,273810,202405,26.0783,51.85,41,13,3021,180,185.25,"2026-01-04 01:43:55"
2614,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",CFIN.N0000,41250,31937,22.577,0,19,19,201,269.5,269.5,"2026-01-04 01:43:55"
2615,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",HAYC.N0000,38385,30878,19.5571,51.43,53,17,13853,100,103,"2026-01-04 01:43:55"
2616,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",CPRT.N0000,429,360,16.0839,16.67,7,5,258,809,809,"2026-01-04 01:43:55"
2617,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",UML.N0000,21927,19314,11.9168,23.53,21,13,3500,298.5,299.5,"2026-01-04 01:43:55"
2618,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",WATA.N0000,97043,87462,9.8729,52.38,48,15,4509,45,46.7,"2026-01-04 01:43:55"
2619,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",COLO.N0000,21312,19620,7.9392,44.44,26,10,5270,55,58,"2026-01-04 01:43:55"
2620,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",HELA.N0000,5762333,5408316,6.1436,19.11,187,127,2155731,3,3.1,"2026-01-04 01:43:55"
2621,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",HHL.N0000,550066,531754,3.3291,50.4,94,31,341860,35,35.2,"2026-01-04 01:43:55"
2622,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",SEMB.N0000,48738842,47418027,2.71,0.21,238,237,31625307,0.6,0.7,"2026-01-04 01:43:55"
2623,2025-12-19,01,bid_vs_ask_2025_12_19_01,"2025-12-19 09:31:02",DFCC.N0000,78572,77582,1.26,45.61,83,31,18239,145,147.25,"2026-01-04 01:43:55"
2624,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",SLND.N0000,33,2,93.9394,55.56,7,2,25,1500,1715.25,"2026-01-04 01:43:55"
2625,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",HASU.N0000,146808,19037,87.0327,26.32,24,14,2256,99,99.5,"2026-01-04 01:43:55"
2626,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",NTB.N0000,121445,16105,86.7389,33.33,24,12,6051,293,296,"2026-01-04 01:43:55"
2627,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",JKH.N0000,4925640,932877,81.0608,83.65,337,30,2226908,20.7,21.2,"2026-01-04 01:43:55"
2628,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",SAMP.N0000,475654,105492,77.8217,65.14,180,38,84751,140,142,"2026-01-04 01:43:55"
2629,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",RIL.N0000,940686,259571,72.4062,58.62,46,12,35535,31.5,31.7,"2026-01-04 01:43:55"
2630,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",TESS.N0000,6635575,2377120,64.1761,1.32,77,75,2973766,1.3,1.4,"2026-01-04 01:43:55"
2631,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",DIST.N0000,93764,36291,61.2954,5.56,19,17,520,56.8,57.7,"2026-01-04 01:43:55"
2632,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",ELPL.N0000,23870,10374,56.5396,15.15,19,14,2683,160,161.75,"2026-01-04 01:43:55"
2633,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",RGEM.N0000,2311,1009,56.3392,-5.26,9,10,550,92.6,100,"2026-01-04 01:43:55"
2634,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",CLND.N0000,119388,55835,53.2323,-9.68,14,17,69727,44,45.5,"2026-01-04 01:43:55"
2635,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",LFIN.N0000,24209,11668,51.803,41.18,36,15,4603,146,153.75,"2026-01-04 01:43:55"
2636,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",STAF.N0000,49698,24118,51.4709,14.29,16,12,10000,53.1,54.7,"2026-01-04 01:43:55"
2637,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",AHUN.N0000,35934,17879,50.2449,31.43,23,12,3115,103,106.5,"2026-01-04 01:43:55"
2638,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",DIPD.N0000,125150,63967,48.8877,68.89,76,14,58832,59,60.5,"2026-01-04 01:43:55"
2639,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",LVEN.N0000,54783,28103,48.7012,10.34,16,13,35600,60,69.6,"2026-01-04 01:43:55"
2640,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",OSEA.N0000,87450,45571,47.8891,33.33,48,24,6625,37.5,38.3,"2026-01-04 01:43:55"
2641,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",CCS.N0000,36622,19661,46.3137,55.56,49,14,14887,105.5,107.5,"2026-01-04 01:43:55"
2642,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",CTLD.N0000,29347,16596,43.4491,35.29,23,11,2100,35.1,36.1,"2026-01-04 01:43:55"
2643,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",LIOC.N0000,77386,48202,37.7122,67.03,76,15,25487,127,127.5,"2026-01-04 01:43:55"
2644,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",UDPL.N0000,3901,2431,37.6826,-11.11,12,15,325,150,158.25,"2026-01-04 01:43:55"
2645,2025-12-19,02,bid_vs_ask_2025_12_19_02,"2025-12-19 09:32:56",TESS.X0000,3409545,2125993,37.6458,-9.57,52,63,1855780,1,1,"2026-01-04 01:43:55"
