security,regime,signal_kmeans,score_x,model_x,score_y,signal_classifier,model_y,transformer_avg_score,transformer_last_score,buy_ratio,sell_ratio,hold_ratio,total_signals,transformer_momentum,signal_transformer,final_signal
LOFC.N0000,🛑 Panic Crash,SELL,,kmeans,0.2574310247433848,SELL,classifier,0.1922201912317957,0.2976437509059906,0.0,1.0,0.0,35,Bearish,SELL,🔻 SELL
AGST.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3121409679183614,SELL,classifier,0.3642248799723963,0.3815154731273651,0.0,1.0,0.0,31,Bearish,SELL,🔻 SELL
CITW.N0000,🛑 Panic Crash,SELL,,kmeans,0.1344258169855676,SELL,classifier,0.0476644161556448,0.0490093268454074,0.0,1.0,0.0,42,Bearish,SELL,🔻 SELL
LWL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3945593653559299,SELL,classifier,0.3575537052560359,0.3551928400993347,0.0,0.9574468085106383,0.0425531914893617,47,Bearish,SELL,🔻 SELL
SFCL.N0000,🛑 Panic Crash,SELL,,kmeans,0.4583900969108273,HOLD,classifier,0.3641291432308428,0.3614219725131988,0.0,1.0,0.0,33,Bearish,SELL,🔻 SELL
COOP.N0000,🛑 Panic Crash,SELL,,kmeans,0.1444079936187342,SELL,classifier,0.1869781978514998,0.1102100238204002,0.0,1.0,0.0,86,Bearish,SELL,🔻 SELL
AFS.N0000,🛑 Panic Crash,SELL,,kmeans,0.3945593653559299,SELL,classifier,0.3724192748467127,0.3760052323341369,0.0,1.0,0.0,30,Bearish,SELL,🔻 SELL
AHPL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3690152080169973,SELL,classifier,0.370266294287097,0.3846779763698578,0.0,1.0,0.0,31,Bearish,SELL,🔻 SELL
WIND.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3606674092762066,SELL,classifier,0.3432665789613918,0.3335289657115936,0.0,0.979591836734694,0.0204081632653061,49,Bearish,SELL,🔻 SELL
UBF.N0000,🛑 Panic Crash,SELL,,kmeans,0.1574411758429066,SELL,classifier,0.1397062644828111,0.072555273771286,0.0,1.0,0.0,32,Bearish,SELL,🔻 SELL
DIAL.N0000,🛑 Panic Crash,SELL,,kmeans,0.2898470893528053,SELL,classifier,0.3423204043259223,0.3271843492984772,0.0,1.0,0.0,48,Bearish,SELL,🔻 SELL
DIST.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.2998589049859661,SELL,classifier,0.3487641551393143,0.3300112783908844,0.0,1.0,0.0,47,Bearish,SELL,🔻 SELL
TESS.N0000,🛑 Panic Crash,SELL,,kmeans,0.2692075625504022,SELL,classifier,0.2880035432485434,0.2841583490371704,0.0,1.0,0.0,39,Bearish,SELL,🔻 SELL
LMF.N0000,🛑 Panic Crash,SELL,,kmeans,0.2955827803010498,SELL,classifier,0.3571350560946898,0.3616760075092315,0.0,1.0,0.0,66,Bearish,SELL,🔻 SELL
SHOT.X0000,🛑 Panic Crash,SELL,,kmeans,0.3775734059005461,SELL,classifier,0.3801890646710115,0.3825016915798187,0.0,1.0,0.0,34,Bearish,SELL,🔻 SELL
SIGV.N0000,🛑 Panic Crash,SELL,,kmeans,0.378824865789117,SELL,classifier,0.3437102353850076,0.3364105224609375,0.0,1.0,0.0,43,Bearish,SELL,🔻 SELL
GHLL.N0000,🛑 Panic Crash,SELL,,kmeans,0.3723016209217522,SELL,classifier,0.347263895869255,0.3640491068363189,0.0,1.0,0.0,50,Bearish,SELL,🔻 SELL
EDEN.N0000,🐳 Whale Accumulation,BUY,,kmeans,0.3514412858760873,SELL,classifier,0.3410804910319192,0.3283553123474121,0.0,1.0,0.0,35,Bearish,SELL,🔻 SELL
